year,title,doi,type,authors,journal,number,total.citations,cid,pubid,ImpactFactor,CiteScore,url,rg,arxiv,psyarxiv,data,code,journalShort,first
2018,Active Control of Sound Through Full-Sized Open Windows,10.1016/j.buildenv.2018.05.042,Article,"B Lam, C Shi, D Shi, WS Gan",building and environment,"141, 16-27",64,6.37E+18,ULOm3_A8WrAC,7.4,11.3,NA,NA,NA,NA,NA,NA,Build Environ,1
2020,Active Control of Low-Frequency Noise Through a Single Top-Hung Window in A Full-Sized Room,10.3390/app10196817,Article,"B Lam, D Shi, V Belyi, S Wen, WS Gan, K Li, I Lee",applied sciences,"10 (19), 6817",16,3.83E+18,4JMBOYKVnBMC,2.7,2.5,https://hdl.handle.net/10356/146185,NA,NA,NA,NA,NA,Appl Sci-Basel,1
2020,Active Control of Broadband Sound Through the Open Aperture of A Full-Sized Domestic Window,10.1038/s41598-020-66563-z,Article,"B Lam, D Shi, WS Gan, SJ Elliott, M Nishimura",scientific reports,"10 (1), 1-7",50,9.34E+18,R3hNpaxXUhUC,4.6,7.5,https://hdl.handle.net/10356/146090,NA,NA,NA,NA,NA,Sci Rep-UK,1
2022,Assessing the Perceived Indoor Acoustic Environment Quality Across Building Occupants in A Tertiary-Care Public Hospital in Singapore,10.1016/j.buildenv.2022.109403,Article,"B Lam, EMP Fan, K Ooi, ZT Ong, JY Hong, WS Gan, SY Ang",building and environment,"222, 109403",4,1.48E+19,lSLTfruPkqcC,7.4,11.3,NA,NA,NA,https://psyarxiv.com/tae9j/,https://doi.org/10.21979/N9/YSQNDY,NA,Build Environ,1
2022,Crossing the Linguistic Causeway: A Binational Approach for Translating Soundscape Attributes to Bahasa Melayu,10.1016/j.apacoust.2022.108976,Article,"B Lam, J Chieng, KN Watcharasupat, K Ooi, ZT Ong, JY Hong, WS Gan",applied acoustics,"199, 108976",5,6.39E+18,ldfaerwXgEUC,3.4,6.4,NA,NA,"
https://doi.org/10.48550/arXiv.2206.03104",NA,https://doi.org/10.21979/N9/0NE37R,https://github.com/ntudsp/satp-zsm-stage1,Appl Acoust,1
2023,Anti-Noise Window: Subjective Perception of Active Noise Reduction And Effect of Informational Masking,10.1016/j.scs.2023.104763,Article,"B Lam, KCQ Lim, K Ooi, ZT Ong, D Shi, WS Gan",sustainable cities and society,104763,0,NA,a0OBvERweLwC,11.7,18.4,NA,NA,https://doi.org/10.48550/arXiv.2307.05533,NA,https://doi.org/10.21979/N9/SEGEFM,https://github.com/ntudsp/SPANR,Sustain Cities Soc,1
2018,Physical Limits on The Performance of Active Noise Control Through Open Windows,10.1016/j.apacoust.2018.02.024,Article,"B Lam, S Elliott, J Cheer, WS Gan",applied acoustics,"137, 9-17",54,3.30E+17,UeHWp8X0CEIC,3.4,6.4,NA,NA,NA,NA,NA,NA,Appl Acoust,1
2016,Active Acoustic Windows: Towards a Quieter Home,10.1109/MPOT.2014.2310776,Article,"B Lam, WS Gan",ieee potentials,"35 (1), 11-18",42,1.02E+19,MXK_kJrjxJIC,NA,2,NA,NA,NA,NA,NA,NA,IEEE Potentials,1
2021,Ten Questions Concerning Active Noise Control in The Built Environment,10.1016/j.buildenv.2021.107928,Article,"B Lam, WS Gan, DY Shi, M Nishimura, S Elliott",building and environment,"200, 107928",62,3.77E+18,hMod-77fHWUC,7.4,11.3,NA,NA,NA,NA,NA,NA,Build Environ,1
2023,Mov-Modified-Fxlms Algorithm with Variable Penalty Factor in A Practical Power Output Constrained Active Control System,10.1109/LSP.2023.3286808,Article,"CK Lai, D Shi, B Lam, WS Gan",ieee signal processing letters,,0,NA,yD5IFk8b50cC,3.9,6.2,NA,NA,https://doi.org/10.48550/arXiv.2306.09535,NA,NA,NA,IEEE Signal Proc Lett,0
2023,Computation-Efficient Solution for Fully-Connected Active Noise Control Window: Analysis And Implementation of Multichannel Adjoint Least Mean Square Algorithm,10.1016/j.ymssp.2023.110444,Article,"D Shi, B Lam, J Ji, X Shen, CK Lai, WS Gan",mechanical systems and signal processing,"199, 110444",0,NA,dfsIfKJdRG4C,8.4,15.2,NA,NA,NA,NA,NA,https://www.mathworks.com/matlabcentral/fileexchange/127554-multichannel-adjoint-lms-algorithm-for-multichannel-anc,Mech Syst Signal Pr,0
2022,Selective Fixed-Filter Active Noise Control Based on Convolutional Neural Network,10.1016/j.sigpro.2021.108317,Article,"D Shi, B Lam, K Ooi, X Shen, WS Gan",signal processing,"190, 108317",30,1.72E+19,O3NaXMp0MMsC,4.4,9.1,NA,https://www.researchgate.net/publication/354359563_Selective_Fixed-filter_Active_Noise_Control_Based_on_Convolutional_Neural_Network,NA,NA,NA,NA,Signal Process,0
