year,title,doi,type,authors,journal,number,total.citations,cid,pubid,ImpactFactor,CiteScore,jcrRankCat,jcrRank,csRankCat,csRank,url,rg,arxiv,psyarxiv,data,code,journalShort,first,country
2024,Lion City Soundscapes: Modified Partitioning Around Medoids for A Perceptually Diverse Dataset of Singaporean Soundscapes,10.1121/10.0025830,Article,"K Ooi, J Goh, HW Lin, ZT Ong, T Wong, KN Watcharasupat, B Lam, ...",jasa express letters,4 (4),0,NA,CHSYGLWDkRkC,1,NA,Acoust,20/40,,,NA,https://www.researchgate.net/publication/380103472_Lion_city_soundscapes_Modified_partitioning_around_medoids_for_a_perceptually_diverse_dataset_of_Singaporean_soundscapesa,NA,NA,https://doi.org/10.21979/N9/AVHSBX,https://github.com/ntudsp/lion-city-soundscapes,JASA Express Lett,0,
2024,Validating Thai Translations of Perceptual Soundscape Attributes: A Non-Procrustean Approach with A Procrustes Projection,10.1016/j.apacoust.2024.109999,Article,"KN Watcharasupat, K Ooi, B Lam, ZT Ong, S Jaratjarungkiat, WS Gan",applied acoustics,"221, 109999",0,NA,NhqRSupF_l8C,3.4,6.4,Acoust,Jul-31,Acoust Ultrason,Jun-41,NA,NA,NA,NA,NA,NA,Appl Acoust,0,
2024,Blind Veering Correction with Spatial Audio Cues: Experimental Validation with A Simulated Traffic Crossing,10.17605/OSF.IO/MJQVE,Registrations,"B Lam, OZ Ting, SL Wong, WS Gan, S Ponapalam",osf,,0,NA,xtRiw3GOFMkC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OSF,1,
2024,Blind Veering Correction with Spatial Audio Cues: An Initial Experimental Investigation in A Seated Context,10.17605/OSF.IO/7GDY8,Registrations,"B Lam, OZ Ting, SL Wong, WS Gan, S Ponapalam",osf,,0,NA,abG-DnoFyZgC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OSF,1,
2023,Mov-Modified-Fxlms Algorithm with Variable Penalty Factor in A Practical Power Output Constrained Active Control System,10.1109/LSP.2023.3286808,Article,"CK Lai, D Shi, B Lam, WS Gan",ieee signal processing letters,,11,7199893902350398245,yD5IFk8b50cC,3.9,6.2,Electr Electron Eng,100/275,Appl Math,54/609,NA,NA,https://doi.org/10.48550/arXiv.2306.09535,NA,NA,NA,IEEE Signal Proc Lett,0,
2023,A Frequency-Domain Output-Constrained Active Noise Control Algorithm Based on An Intuitive Circulant Convolutional Penalty Factor,10.1109/TASLP.2023.3260702,Article,"D Shi, WS Gan, B Lam, X Shen","ieee/acm transactions on audio, speech, and language processing","31, 1318-1332",12,1670277203235416740,4OULZ7Gr8RgC,5.4,10.1,Acoust,Mar-31,Comput Math,5/172,NA,https://www.researchgate.net/publication/369725736_A_Frequency-Domain_Output-Constrained_Active_Noise_Control_Algorithm_Based_on_an_Intuitive_Circulant_Convolutional_Penalty_Factor,NA,NA,NA,NA,IEEE T Acoust Speech,0,
2023,Multichannel Two-Gradient Direction Filtered Reference Least Mean Square Algorithm for Output-Constrained Multichannel Active Noise Control,10.1016/j.sigpro.2023.108938,Article,"D Shi, B Lam, X Shen, WS Gan",signal processing,"207, 108938",20,459517542332832699,HoB7MX3m0LUC,4.4,9.1,Electr Electron Eng,84/275,Control Syst Eng,34/286,NA,https://www.researchgate.net/publication/367243150_Multichannel_Two-gradient_Direction_Filtered_Reference_Least_Mean_Square_Algorithm_for_Output-constrained_Multichannel_Active_Noise_Control,NA,NA,NA,NA,Signal Process,0,
2023,Transferable Latent of Cnn-Based Selective Fixed-Filter Active Noise Control,10.1109/TASLP.2023.3261757,Article,"D Shi, WS Gan, B Lam, Z Luo, X Shen","ieee/acm transactions on audio, speech, and language processing",,25,824082129903198669,fPk4N6BV_jEC,5.4,10.1,Acoust,Mar-31,Comput Math,5/172,NA,https://www.researchgate.net/publication/371225782_Transferable_Latent_of_CNN-based_Selective_Fixed-filter_Active_Noise_Control,NA,NA,NA,NA,IEEE T Acoust Speech,0,
2023,Anti-Noise Window: Subjective Perception of Active Noise Reduction And Effect of Informational Masking,10.1016/j.scs.2023.104763,Article,"B Lam, KCQ Lim, K Ooi, ZT Ong, D Shi, WS Gan",sustainable cities and society,"97, 104763",11,7037153103242868041,a0OBvERweLwC,11.7,18.4,Constr Build Technol,Jan-68,Civ Struct Eng,2/350,NA,NA,https://doi.org/10.48550/arXiv.2307.05533,NA,https://doi.org/10.21979/N9/SEGEFM,https://github.com/ntudsp/SPANR,Sustain Cities Soc,1,
2023,Computation-Efficient Solution for Fully-Connected Active Noise Control Window: Analysis And Implementation of Multichannel Adjoint Least Mean Square Algorithm,10.1016/j.ymssp.2023.110444,Article,"D Shi, B Lam, J Ji, X Shen, CK Lai, WS Gan",mechanical systems and signal processing,"199, 110444",19,6393578533359157139,dfsIfKJdRG4C,8.4,15.2,Mech Eng,5/135,Aerosp Eng,2/137,NA,NA,NA,NA,NA,https://www.mathworks.com/matlabcentral/fileexchange/127554-multichannel-adjoint-lms-algorithm-for-multichannel-anc,Mech Syst Signal Pr,0,
2023,Crossing the Linguistic Causeway: Ethnonational Differences on Soundscape Attributes in Bahasa Melayu,10.1016/j.apacoust.2023.109675,Article,"B Lam, J Chieng, K Ooi, ZT Ong, KN Watcharasupat, JY Hong, WS Gan",applied acoustics,"214, 109675",2,15738548838611662617,D03iK_w7-QYC,3.4,6.4,Acoust,Jul-31,Acoust Ultrason,Jun-41,NA,NA,https://doi.org/10.48550/arXiv.2307.03647,NA,https://doi.org/10.21979/N9/9AZ21T,https://github.com/ntudsp/satp-zsm-stage2,Appl Acoust,1,
2023,Araus: A Large-Scale Dataset And Baseline Models of Affective Responses to Augmented Urban Soundscapes,10.1109/TAFFC.2023.3247914,Article,"K Ooi, ZT Ong, KN Watcharasupat, B Lam, JY Hong, WS Gan",ieee transactions on affective computing,,13,15624351233358558849,pqnbT2bcN3wC,11.2,16.3,Comput Sci Artif Intell ,10/145,Softw,23/404,NA,https://www.researchgate.net/publication/368727300_ARAUS_A_Large-Scale_Dataset_and_Baseline_Models_of_Affective_Responses_to_Augmented_Urban_Soundscapes,https://doi.org/10.48550/arXiv.2207.01078,NA,https://doi.org/10.21979/N9/9OTEVX,https://github.com/ntudsp/araus-dataset-baseline-models,IEEE T Affect Comput,0,
2023,Active Noise Control in The New Century: The Role And Prospect of Signal Processing,10.3397/IN_2023_0730,Proceedings Paper,"D Shi, B Lam, WS Gan, J Cheer, SJ Elliott",inter-noise and noise-con congress and conference proceedings,"268 (3), 5141-5151",14,4091126509688715509,cFHS6HbyZ2cC,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.48550/arXiv.2306.01425,NA,NA,NA,arXiv,0,"Chiba, Japan"
2023,Real-Time Modelling of Observation Filter in The Remote Microphone Technique for An Active Noise Control Application,10.1109/ICASSP49357.2023.10095752,Proceedings Paper,"CK Lai, B Lam, D Shi, WS Gan",icassp,"2023-2023 IEEE International Conference on Acoustics, Speech and …",6,15001955898969798407,u_35RYKgDlwC,NA,NA,NA,NA,NA,NA,NA,https://www.researchgate.net/publication/369449718_Real-time_modelling_of_observation_filter_in_the_Remote_Microphone_Technique_for_an_Active_Noise_Control_application,https://doi.org/10.48550/arXiv.2303.12517,NA,NA,NA,ICASSP 2023 - 2023 IEEE Int Conf Acoust Speech Signal Process,0,Singapore
2022,Deployment of An Iot System for Adaptive In-Situ Soundscape Augmentation,10.3397/IN_2022_0290,Proceedings Paper,"T Wong, K N Watcharasupat, B Lam, K Ooi, ZT Ong, F Andi Karnapi, ...",inter-noise and noise-con congress and conference proceedings,"265 (5), 2013-2021",5,14964398466420106575,vV6vV6tmYwMC,NA,NA,NA,NA,NA,NA,NA,https://www.researchgate.net/publication/360255877_Deployment_of_an_IoT_System_for_Adaptive_In-Situ_Soundscape_Augmentation,https://doi.org/10.48550/arXiv.2204.13890,NA,NA,NA,"INTERNOISE NOISE-CON Congr Conf Proceedings, InterNoise22",0,"Glasgow, UK"
2023,Preliminary Results of The Soundscape Attributes Translation Project (Satp): Lessons Learned And Next Steps,10.61782/fa.2023.0095,Proceedings Paper,"F Aletta, T Oberman, A Mitchell, J Kang, S Consortium",proc. forum acusticum,,5,12019718583582387570,b0M2c_1WBrUC,NA,NA,NA,NA,NA,NA,NA,https://www.researchgate.net/publication/373946697_Preliminary_results_of_the_Soundscape_Attributes_Translation_Project_SATP_lessons_learned_and_next_steps,NA,NA,NA,NA,Proc. Forum Acusticum,0,"Torino, Italy"
2023,Autonomous Soundscape Augmentation with Multimodal Fusion of Visual And Participant-Linked Inputs,10.1109/ICASSP49357.2023.10094866,Proceedings Paper,"K Ooi, KN Watcharasupat, B Lam, ZT Ong, WS Gan",icassp,"2023-2023 IEEE International Conference on Acoustics, Speech and …",4,194352797595371998,rO6llkc54NcC,NA,NA,NA,NA,NA,NA,NA,https://www.researchgate.net/publication/369266154_Autonomous_Soundscape_Augmentation_with_Multimodal_Fusion_of_Visual_and_Participant-linked_Inputs,https://doi.org/10.48550/arXiv.2303.08342,NA,NA,NA,ICASSP 2023 - 2023 IEEE Int Conf Acoust Speech Signal Process,0,Singapore
2023,Arausv2: An Expanded Dataset And Multimodal Models of Affective Responses to Augmented Urban Soundscapes,10.3397/IN_2023_0459,Proceedings Paper,"K Ooi, ZT Ong, B Lam, T Wong, WS Gan, KN Watcharasupat",inter-noise and noise-con congress and conference proceedings,"268 (5), 3183-3194",0,NA,_xSYboBqXhAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.21979/N9/9OTEVX,https://github.com/ntudsp/araus-dataset-baseline-models,"INTERNOISE NOISE-CON Congr Conf Proceedings, InterNoise23",0,"Chiba, Japan"
2023,Effect of Masker Selection Schemes on The Perceived Affective Quality of Soundscapes: A Pilot Study,10.3397/IN_2023_0791,Proceedings Paper,"ZT Ong, K Ooi, B Lam, T Wong, WS Gan, KN Watcharasupat",inter-noise and noise-con congress and conference proceedings,"268 (3), 5575-5585",0,NA,bFI3QPDXJZMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://researchdata.ntu.edu.sg/dataset.xhtml?persistentId=doi:10.21979/N9/K1P3IL,NA,"INTERNOISE NOISE-CON Congr Conf Proceedings, InterNoise23",0,"Chiba, Japan"
2023,Preliminary Investigation of The Short-Term in Situ Performance of An Automatic Masker Selection System,10.3397/IN_2023_0805,Proceedings Paper,"B Lam, ZT Ong, K Ooi, WH Ong, T Wong, WS Gan, KN Watcharasupat",inter-noise and noise-con congress and conference proceedings,"268 (3), 5657-5664",0,NA,pyW8ca7W8N0C,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.48550/arXiv.2308.07767,NA,NA,NA,"INTERNOISE NOISE-CON Congr Conf Proceedings, InterNoise23",1,"Chiba, Japan"
2022,Robust Estimation of Open Aperture Active Control Systems Using Virtual Sensing,10.3397/IN_2022_0483,Proceedings Paper,"CK Lai, JS Tey, D Shi, WS Gan",inter-noise and noise-con congress and conference proceedings,"265 (4), 3397-3407",8,212757704329486020,3s1wT3WcHBgC,NA,NA,NA,NA,NA,NA,NA,https://www.researchgate.net/publication/363658389_Robust_estimation_of_open_aperture_active_control_systems_using_virtual_sensing,NA,NA,NA,NA,"INTERNOISE NOISE-CON Congr  Conf Proceedings, InterNoise22",0,"Glasgow, UK"
2023,Active control of urban noise for acoustic comfort: subjective characterisation and evaluation of control parameters,10.17605/OSF.IO/TY742,Registrations,"B Lam, CK Lai, S Chan, K Ooi, ZT Ong, D Shi, WS Gan",osf,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OSF,1,
2022,Selective Fixed-Filter Active Noise Control Based on Convolutional Neural Network,10.1016/j.sigpro.2021.108317,Article,"D Shi, B Lam, K Ooi, X Shen, WS Gan",signal processing,"190, 108317",59,17249670984584665619,O3NaXMp0MMsC,4.4,9.1,Electr Electron Eng,84/275,Control Syst Eng,34/286,NA,https://www.researchgate.net/publication/354359563_Selective_Fixed-filter_Active_Noise_Control_Based_on_Convolutional_Neural_Network,NA,NA,NA,NA,Signal Process,0,
2022,Autonomous In-Situ Soundscape Augmentation Via Joint Selection of Masker And Gain,10.1109/LSP.2022.3194419,Article,"KN Watcharasupat, K Ooi, B Lam, T Wong, ZT Ong, WS Gan",ieee signal processing letters,"29, 1749-1753",8,16726477683838860385,35N4QoGY0k4C,3.9,6.2,Electr Electron Eng,100/275,Appl Math,54/609,NA,NA,https://doi.org/10.48550/arXiv.2204.13883,NA,NA,NA,IEEE Signal Proc Lett,0,
2022,Assessing the Perceived Indoor Acoustic Environment Quality Across Building Occupants in A Tertiary-Care Public Hospital in Singapore,10.1016/j.buildenv.2022.109403,Article,"B Lam, EMP Fan, K Ooi, ZT Ong, JY Hong, WS Gan, SY Ang",building and environment,"222, 109403",11,14828392039676406204,lSLTfruPkqcC,7.4,11.3,Civ Eng,6/139,Civ Struct Eng,17/350,NA,NA,NA,https://psyarxiv.com/tae9j/,https://doi.org/10.21979/N9/YSQNDY,NA,Build Environ,1,
2022,A Multidimensional Assessment of Construction Machinery Noises Based on Perceptual Attributes And Psychoacoustic Parameters,10.1016/j.autcon.2022.104295,Article,"JY Hong, B Lam, ZT Ong, K Ooi, WS Gan, S Lee",automation in construction,"140, 104295",5,7489681498172188109,2P1L_qKh6hAC,10.3,16.7,Civ Eng,2/139,Civ Struct Eng,4/350,https://hdl.handle.net/10356/159243,NA,NA,NA,NA,NA,Automat Constr,0,
2022,Crossing the Linguistic Causeway: A Binational Approach for Translating Soundscape Attributes to Bahasa Melayu,10.1016/j.apacoust.2022.108976,Article,"B Lam, J Chieng, KN Watcharasupat, K Ooi, ZT Ong, JY Hong, WS Gan",applied acoustics,"199, 108976",15,6385445080141644674,ldfaerwXgEUC,3.4,6.4,Acoust,Jul-31,Acoust Ultrason,Jun-41,NA,NA,"
https://doi.org/10.48550/arXiv.2206.03104",NA,https://doi.org/10.21979/N9/0NE37R,https://github.com/ntudsp/satp-zsm-stage1,Appl Acoust,1,
2022,Quantitative Evaluation Approach for Translation of Perceptual Soundscape Attributes: Initial Application to The Thai Language,10.1016/j.apacoust.2022.108962,Article,"KN Watcharasupat, S Jaratjarungkiat, B Lam, S Jitwiriyanont, K Ooi, ...",applied acoustics,"200, 108962",19,17252029043528429591,J_g5lzvAfSwC,3.4,6.4,Acoust,Jul-31,Acoust Ultrason,Jun-41,NA,NA,https://doi.org/10.48550/arXiv.2203.12245,NA,NA,NA,Appl Acoust,0,
2022,Singapore Soundscape Site Selection Survey (S5): Identification of Characteristic Soundscapes of Singapore Via Weighted K-Means Clustering,10.3390/su14127485,Article,"K Ooi, B Lam, JY Hong, KN Watcharasupat, ZT Ong, WS Gan",sustainability,"14 (12), 7485",4,17180215524261383004,M05iB0D1s5AC,3.9,5.8,Environ Stud,48/127,Geogr Plan Dev,101/779,NA,NA,https://doi.org/10.3390/su14127485,NA,https://doi.org/10.21979/N9/BBBPMO,https://github.com/ntudsp/singapore-soundscape-site-selection-survey,Sustainability-Basel,0,
2022,Probably Pleasant? a Neural-Probabilistic Approach to Automatic Masker Selection for Urban Soundscape Augmentation,10.1109/ICASSP43922.2022.9746897,Proceedings Paper,"K Ooi, KN Watcharasupat, B Lam, ZT Ong, WS Gan",icassp,"2022-2022 IEEE International Conference on Acoustics, Speech and …",8,11780286068687084708,RYcK_YlVTxYC,NA,NA,NA,NA,NA,NA,https://hdl.handle.net/10356/158000,NA,NA,NA,https://doi.org/10.21979/N9/YSJQKD,NA,ICASSP 2022 - 2022 IEEE Int Conf Acoust Speech Signal Process,0,Singapore
2022,Assessment of A Cost-Effective Headphone Calibration Procedure for Soundscape Evaluations,NA,Proceedings Paper,"B Lam, K Ooi, ZT Ong, KN Watcharasupat, T Wong, WS Gan",arxiv preprint arxiv:,:2207.12899,6,6948766258718889817,ZHo1McVdvXMC,NA,NA,NA,NA,NA,NA,NA,https://www.researchgate.net/publication/362277034_Assessment_of_a_cost-effective_headphone_calibration_procedure_for_soundscape_evaluations,https://doi.org/10.48550/arXiv.2207.12899,NA, https://doi.org/10.21979/N9/AUE2LL,https://github.com/ntudsp/ica22-calibration,Proc 24th Int Congr Acoust,1,"Gyeongju, South Korea"
2022,Preliminary Assessment of A Cost-Effective Headphone Calibration Procedure for Soundscape Evaluations,NA,Proceedings Paper,"B Lam, K Ooi, KN Watcharasupat, ZT Ong, YT Lau, T Wong, WS Gan",arxiv preprint arxiv:,:2205.04728,3,9057027384195200042,70eg2SAEIzsC,NA,NA,NA,NA,NA,NA,NA,https://www.researchgate.net/publication/369231680_Preliminary_assessment_of_a_cost-effective_headphone_calibration_procedure_for_soundscape_evaluations,https://doi.org/10.48550/arXiv.2205.04728,NA,NA,NA,"Proc 28th Int Congr Sound Vib, ICSV28",1,Singapore
2022,Do Uhear? Validation of Uhear App for Preliminary Screening of Hearing Ability in Soundscape Studies,NA,Proceedings Paper,"ZT Ong, B Lam, K Ooi, KN Watcharasupat, T Wong, WS Gan",arxiv preprint arxiv:,:2207.09221,1,13051606555288165422,SeFeTyx0c_EC,NA,NA,NA,NA,NA,NA,NA,https://www.researchgate.net/publication/362121556_Do_uHear_Validation_of_uHear_App_for_Preliminary_Screening_of_Hearing_Ability_in_Soundscape_Studies,https://doi.org/10.48550/arXiv.2207.09221,NA,"https://doi.org/10.21979/N9/JQDI6F,",NA,Proc 24th Int Congr Acoust,0,"Gyeongju, South Korea"
2022,A Benchmark Comparison of Perceptual Models for Soundscapes on A Large-Scale Augmented Soundscape Dataset,NA,Proceedings Paper,"K Ooi, KN Watcharasupat, B Lam, ZT Ong, WS Gan",,,1,1515130812679007575,zA6iFVUQeVQC,NA,NA,NA,NA,NA,NA,https://hdl.handle.net/10356/164983,https://www.researchgate.net/publication/369233043_A_benchmark_comparison_of_perceptual_models_for_soundscapes_on_a_large-scale_augmented_soundscape_dataset,NA,NA,NA,NA,Proc 24th Int Congr Acoust,0,"Gyeongju, South Korea"
2021,Fast Adaptive Active Noise Control Based on Modified Model-Agnostic Meta-Learning Algorithm,10.1109/LSP.2021.3064756,Article,"D Shi, WS Gan, B Lam, K Ooi",ieee signal processing letters,"28, 593-597",25,13982498320342131552,JV2RwH3_ST0C,3.9,6.2,Electr Electron Eng,100/275,Appl Math,54/609,NA,NA,NA,NA,NA,NA,IEEE Signal Proc Lett,0,
2021,Optimal Output-Constrained Active Noise Control Based on Inverse Adaptive Modeling Leak Factor Estimate,10.1109/TASLP.2021.3065730,Article,"D Shi, WS Gan, B Lam, S Wen, X Shen","ieee/acm transactions on audio, speech, and language processing","29, 1256-1269",38,2107533121862752519,M3NEmzRMIkIC,5.4,10.1,Acoust,Mar-31,Comput Math,5/172,NA,NA,NA,NA,NA,NA,IEEE T Acoust Speech,0,
2021,Ten Questions Concerning Active Noise Control in The Built Environment,10.1016/j.buildenv.2021.107928,Article,"B Lam, WS Gan, DY Shi, M Nishimura, S Elliott",building and environment,"200, 107928",107,3765905662588210249,hMod-77fHWUC,7.4,11.3,Civ Eng,6/139,Civ Struct Eng,17/350,NA,NA,NA,NA,NA,NA,Build Environ,1,
2021,Block Coordinate Descent Based Algorithm for Computational Complexity Reduction in Multichannel Active Noise Control System,10.1016/j.ymssp.2020.107346,Article,"D Shi, B Lam, WS Gan, S Wen",mechanical systems and signal processing,"151, 107346",47,11906403423229185075,r0BpntZqJG4C,8.4,15.2,Mech Eng,5/135,Aerosp Eng,2/137,NA,NA,NA,NA,NA,NA,Mech Syst Signal Pr,0,
2021,Comb-Partitioned Frequency-Domain Constraint Adaptive Algorithm for Active Noise Control,10.1016/j.sigpro.2021.108222,Article,"D Shi, WS Gan, B Lam, X Shen",signal processing,"188, 108222",26,868705025892798361,NMxIlDl6LWMC,4.4,9.1,Electr Electron Eng,84/275,Control Syst Eng,34/286,NA,NA,NA,NA,NA,NA,Signal Process,0,
2021,Automation of Binaural Headphone Audio Calibration on An Artificial Head,10.1016/j.mex.2021.101288,Article,"K Ooi, Y Xie, B Lam, WS Gan",methodsx,"8, 101288",13,13799450529565737737,maZDTaKrznsC,1.9,3.5,,,Med Lab Technol,Dec-34,https://hdl.handle.net/10356/152884,NA,NA,NA,https://doi.org/10.21979/N9/0KYIAU,NA,Methodsx,0,
