year,title,doi,url,rg,arxiv,type,authors,journal,number,total.citations,publication.date,cid,pubid,journalShort,Country,ImpactFactor,CiteScore,first
2023,Multichannel Two-Gradient Direction Filtered Reference Least Mean Square Algorithm for Output-Constrained Multichannel Active Noise Control,10.1016/j.sigpro.2023.108938,NA,NA,NA,Article,"D Shi, B Lam, X Shen, WS Gan",signal processing,108938,1,2023,4.60E+17,HoB7MX3m0LUC,Signal Process,NA,4.729,8.9,0
2023,A Frequency-Domain Output-Constrained Active Noise Control Algorithm Based on An Intuitive Circulant Convolutional Penalty Factor,10.1109/TASLP.2023.3260702,NA,NA,NA,Article,"D Shi, WS Gan, B Lam, X Shen","ieee/acm transactions on audio, speech, and language processing","31, 1318-1332",0,2023,NA,4OULZ7Gr8RgC,IEEE T Acoust Speech,NA,4.346,9.4,0
2022,Quantitative Evaluation Approach for Translation of Perceptual Soundscape Attributes: Initial Application to The Thai Language,10.1016/j.apacoust.2022.108962,NA,NA,NA,Article,"KN Watcharasupat, S Jaratjarungkiat, B Lam, S Jitwiriyanont, K Ooi, ...",applied acoustics,"200, 108962",7,2022,1.73E+19,J_g5lzvAfSwC,Appl Acoust,NA,3.614,5.6,0
2022,Crossing the Linguistic Causeway: A Binational Approach for Translating Soundscape Attributes to Bahasa Melayu,10.1016/j.apacoust.2022.108976,NA,NA,NA,Article,"B Lam, J Chieng, KN Watcharasupat, K Ooi, ZT Ong, JY Hong, WS Gan",applied acoustics,"199, 108976",2,2022,6.39E+18,ldfaerwXgEUC,Appl Acoust,NA,3.614,5.6,1
2022,Assessing the Perceived Indoor Acoustic Environment Quality Across Building Occupants in A Tertiary-Care Public Hospital in Singapore,10.1016/j.buildenv.2022.109403,NA,NA,NA,Article,"B Lam, EMP Fan, K Ooi, ZT Ong, JY Hong, WS Gan, SY Ang",building and environment,"222, 109403",1,2022,1.48E+19,lSLTfruPkqcC,Build Environ,NA,7.093,10.7,1
2022,A Multidimensional Assessment of Construction Machinery Noises Based on Perceptual Attributes And Psychoacoustic Parameters,10.1016/j.autcon.2022.104295,NA,NA,NA,Article,"JY Hong, B Lam, ZT Ong, K Ooi, WS Gan, S Lee",automation in construction,"140, 104295",3,2022,7.49E+18,2P1L_qKh6hAC,Automat Constr,NA,10.517,15,0
2022,Probably Pleasant? a Neural-Probabilistic Approach to Automatic Masker Selection for Urban Soundscape Augmentation,10.1109/ICASSP43922.2022.9746897,NA,NA,NA,Proceedings Paper,"K Ooi, KN Watcharasupat, B Lam, ZT Ong, WS Gan","icassp 2022-2022 IEEE International Conference on Acoustics, Speech and …",_8887-8891,5,2022,1.18E+19,RYcK_YlVTxYC,ICASSP 2022 - 2022 IEEE Int Conf Acoust Speech Signal Process,Singapore,NA,6.3,0
2022,Autonomous In-Situ Soundscape Augmentation Via Joint Selection of Masker And Gain,10.1109/LSP.2022.3194419,NA,NA,NA,Article,"KN Watcharasupat, K Ooi, B Lam, T Wong, ZT Ong, WS Gan",ieee signal processing letters,"29, 1749-1753",2,2022,1.67E+19,35N4QoGY0k4C,IEEE Signal Proc Let,NA,3.201,6.6,0
2022,Selective Fixed-Filter Active Noise Control Based on Convolutional Neural Network,10.1016/j.sigpro.2021.108317,NA,NA,NA,Article,"D Shi, B Lam, K Ooi, X Shen, WS Gan",signal processing,"190, 108317",27,2022,1.72E+19,O3NaXMp0MMsC,Signal Process,NA,4.729,8.9,0
2021,Comb-Partitioned Frequency-Domain Constraint Adaptive Algorithm for Active Noise Control,10.1016/j.sigpro.2021.108222,NA,NA,NA,Article,"D Shi, WS Gan, B Lam, X Shen",signal processing,"188, 108222",12,2021,8.69E+17,NMxIlDl6LWMC,Signal Process,NA,4.729,8.9,0
2021,Ten Questions Concerning Active Noise Control in The Built Environment,10.1016/j.buildenv.2021.107928,NA,NA,NA,Article,"B Lam, WS Gan, DY Shi, M Nishimura, S Elliott",building and environment,"200, 107928",53,2021,3.77E+18,hMod-77fHWUC,Build Environ,NA,7.093,10.7,1
2021,Block Coordinate Descent Based Algorithm for Computational Complexity Reduction in Multichannel Active Noise Control System,10.1016/j.ymssp.2020.107346,NA,NA,NA,Article,"D Shi, B Lam, WS Gan, S Wen",mechanical systems and signal processing,"151, 107346",27,2021,1.19E+19,r0BpntZqJG4C,Mech Syst Signal Pr,NA,8.934,15.1,0
2021,Automation of Binaural Headphone Audio Calibration on An Artificial Head,10.1016/j.mex.2021.101288,NA,NA,NA,Article,"K Ooi, Y Xie, B Lam, WS Gan",methodsx,"8, 101288",8,2021,1.38E+19,maZDTaKrznsC,Methodsx,NA,NA,2.8,0
2021,Optimal Output-Constrained Active Noise Control Based on Inverse Adaptive Modeling Leak Factor Estimate,10.1109/TASLP.2021.3065730,NA,NA,NA,Article,"D Shi, WS Gan, B Lam, S Wen, X Shen","ieee/acm transactions on audio, speech, and language processing","29, 1256-1269",19,2021,2.11E+18,M3NEmzRMIkIC,IEEE T Acoust Speech,NA,4.346,9.4,0
2021,Fast Adaptive Active Noise Control Based on Modified Model-Agnostic Meta-Learning Algorithm,10.1109/LSP.2021.3064756,NA,NA,NA,Article,"D Shi, WS Gan, B Lam, K Ooi",ieee signal processing letters,"28, 593-597",11,2021,1.40E+19,JV2RwH3_ST0C,IEEE Signal Proc Let,NA,3.201,6.6,0
2020,Effects of Contexts in Urban Residential Areas on The Pleasantness And Appropriateness of Natural Sounds,10.1016/j.scs.2020.102475,NA,NA,NA,Article,"JY Hong, B Lam, ZT Ong, K Ooi, WS Gan, J Kang, S Yeong, I Lee, ST Tan",sustainable cities and society,"63, 102475",15,2020,9.94E+18,RHpTSmoSYBkC,Sustain Cities Soc,NA,10.696,14.4,0
2020,Active Control of Low-Frequency Noise Through a Single Top-Hung Window in A Full-Sized Room,10.3390/app10196817,NA,NA,NA,Article,"B Lam, D Shi, V Belyi, S Wen, WS Gan, K Li, I Lee",applied sciences,"10 (19), 6817",15,2020,3.83E+18,4JMBOYKVnBMC,Appl Sci-Basel,NA,2.838,3.7,1
2020,Active Control of Broadband Sound Through the Open Aperture of A Full-Sized Domestic Window,10.1038/s41598-020-66563-z,NA,NA,NA,Article,"B Lam, D Shi, WS Gan, SJ Elliott, M Nishimura",scientific reports,"10 (1), 1-7",45,2020,9.34E+18,R3hNpaxXUhUC,Sci Rep-UK,NA,4.997,6.9,1
2020,"Quality Assessment of Acoustic Environment Reproduction Methods for Cinematic Virtual Reality in Soundscape Applications (Vol 149, Pg 1, 2019)",10.1016/j.buildenv.2020.106830,NA,NA,NA,Correction,"JY Hong, B Lam, ZT Ong, K Ooi, WS Gan, J Kang, J Feng, ST Tan",building and environment,176,0,2020,NA,e5wmG9Sq2KIC,Build Environ,NA,7.093,10.7,0
